Ang Mo Kio - Total,162280
  Ang Mo Kio Town Centre,4810
  Cheng San,28070
  Chong Boon,26500
  Kebun Bahru,22620
  Sembawang Hills,6850
  Shangri-La,15960
  Tagore,7950
  Townsville,21140
  Yio Chu Kang,20
  Yio Chu Kang East,4200
  Yio Chu Kang North,-
  Yio Chu Kang West,24150
Bedok - Total,276990
  Bayshore,7450
  Bedok North,81840
  Bedok Reservoir,25470
  Bedok South,46690
  Frankel,34490
  Kaki Bukit,37150
  Kembangan,37460
  Siglap,6440
Bishan - Total,87320
  Bishan East,28310
  Marymount,29620
  Upper Thomson,29390
Boon Lay - Total,40
  Liu Fang,10
  Samulun,10
  Shipyard,-
  Tukang,10
Bukit Batok - Total,158030
  Brickworks,19820
  Bukit Batok Central,27290
  Bukit Batok East,12690
  Bukit Batok South,14930
  Bukit Batok West,15000
  Gombak,9930
  Guilin,12940
  Hillview,19300
  Hong Kah North,26150
Bukit Merah - Total,151250
  Alexandra Hill,13490
  Alexandra North,2620
  Bukit Ho Swee,14390
  Bukit Merah,1110
  City Terminals,20
  Depot Road,6540
  Everton Park,7810
  Henderson Hill,13320
  Kampong Tiong Bahru,9010
  Maritime Square,3620
  Redhill,10620
  Singapore General Hospital,10
  Telok Blangah Drive,19320
  Telok Blangah Rise,12150
  Telok Blangah Way,9230
  Tiong Bahru,12890
  Tiong Bahru Station,15120
Bukit Panjang - Total,138270
  Bangkit,22270
  Dairy Farm,6940
  Fajar,27820
  Jelebu,31310
  Nature Reserve,3850
  Saujana,25920
  Senja,20170
Bukit Timah - Total,77860
  Anak Bukit,21870
  Coronation Road,6690
  Farrer Court,6180
  Hillcrest,9470
  Holland Road,10840
  Leedon Park,6440
  Swiss Club,5340
  Ulu Pandan,11020
Central Water Catchment - Total,-
  Central Water Catchment,-
Changi- Total,1850
  Changi Airport,10
  Changi Point,540
  Changi West,1300
Changi Bay - Total,-
  Changi Bay,-
Choa Chu Kang - Total,192070
  Choa Chu Kang Central,22530
  Choa Chu Kang North,31930
  Keat Hong,38180
  Peng Siang,34720
  Teck Whye,24320
  Yew Tee,40390
Clementi - Total,91990
  Clementi Central,14000
  Clementi North,28810
  Clementi West,15260
  Clementi Woods,16000
  Faber,5360
  Pandan,20
  Sunset Way,5650
  Toh Tuck,20
  West Coast,6870
Downtown Core - Total,3190
  Anson,80
  Bayfront Subzone,-
  Bugis,890
  Cecil,260
  Central Subzone,880
  City Hall,80
  Clifford Pier,-
  Marina Centre,10
  Maxwell,-
  Nicoll,290
  Phillip,10
  Raffles Place,40
  Tanjong Pagar,670
Geylang - Total,110110
  Aljunied,39990
  Geylang East,29920
  Kallang Way,30
  Kampong Ubi,11800
  Macpherson,28360
Hougang - Total,227560
  Defu Industrial Park,20
  Hougang Central,4720
  Hougang East,24920
  Hougang West,45460
  Kangkar,32290
  Kovan,24810
  Lorong Ah Soo,32320
  Lorong Halus,-
  Tai Seng,13830
  Trafalgar,49200
Jurong East - Total,78600
  International Business Park,10
  Jurong Gateway,450
  Jurong Port,-
  Jurong River,10
  Lakeside (Business),-
  Lakeside (Leisure),1070
  Penjuru Crescent,10
  Teban Gardens,18530
  Toh Guan,14590
  Yuhua East,24770
  Yuhua West,19160
Jurong West - Total,262730
  Boon Lay Place,29340
  Chin Bee,-
  Hong Kah,53890
  Jurong West Central,63760
  Kian Teck,40
  Safti,-
  Taman Jurong,39920
  Wenya,8280
  Yunnan,67500
Kallang - Total,101290
  Bendemeer,37570
  Boon Keng,11790
  Crawford,8380
  Geylang Bahru,11280
  Kallang Bahru,20
